Name: STRATO3, HW Version: 1.1, SW Version: 2.0, SN: 1001005000366
#;Up-Time;UTC;Date;RMC Valid;Sats in use;Latitude;Longitude;Speed over Ground [knots];Speed over Ground [km/h];Course over Ground;Altitude NN [m];Board: Temp [C];Extern: Temp [C];Extern: Hum [perc];Extern: Press [hPa];Batt Voltage [V];Logger Status
$;00:00:01;00:00:01;00.00.00;N;NA;NA;NA;NA;NA;NA;NA;16.375;17.0;34.401;1031.439;9.0;66561
$;00:00:03;08:35:15;00.00.00;N;NA;NA;NA;NA;NA;NA;NA;16.375;17.125;34.393;1031.589;9.0;66579
$;00:00:05;08:35:17;00.00.00;N;NA;NA;NA;NA;NA;NA;NA;16.250;16.750;34.431;1031.500;9.0;66583
$;00:00:07;08:35:19;14.02.2019;N;NA;NA;NA;NA;NA;NA;NA;16.125;16.625;34.508;1031.560;9.0;66615
$;00:00:09;08:35:21;14.02.2019;N;NA;NA;NA;NA;NA;NA;NA;16.125;16.500;34.554;1031.569;9.0;66611
$;00:00:11;08:35:23;14.02.2019;N;NA;NA;NA;NA;NA;NA;NA;16.0;16.375;34.622;1031.439;9.0;66615
$;00:00:13;08:35:25;14.02.2019;N;NA;NA;NA;NA;NA;NA;NA;16.0;16.375;34.683;1031.569;9.0;66615
$;00:00:15;08:35:27;14.02.2019;N;NA;NA;NA;NA;NA;NA;NA;16.0;16.250;34.752;1031.569;9.0;66611
$;00:00:17;08:35:29;14.02.2019;N;NA;NA;NA;NA;NA;NA;NA;16.0;16.125;34.805;1031.660;9.0;66615
$;00:00:19;08:35:31;14.02.2019;N;NA;NA;NA;NA;NA;NA;NA;16.0;16.125;35.118;1031.680;9.0;66615
$;00:00:21;08:35:33;14.02.2019;N;NA;NA;NA;NA;NA;NA;NA;16.0;16.125;35.49;1031.569;9.0;66611
$;00:00:23;08:35:35;14.02.2019;N;NA;NA;NA;NA;NA;NA;NA;16.0;16.0;35.57;1031.630;9.0;66615
$;00:00:25;08:35:37;14.02.2019;N;NA;NA;NA;NA;NA;NA;NA;15.875;15.875;35.233;1031.630;9.0;66615
$;00:00:27;08:35:39;14.02.2019;N;NA;NA;NA;NA;NA;NA;NA;15.750;16.0;35.378;1031.619;9.0;66615
$;00:00:29;08:35:41;14.02.2019;N;NA;NA;NA;NA;NA;NA;NA;15.875;15.875;35.286;1031.619;9.0;66615
$;00:00:31;08:35:43;14.02.2019;N;NA;NA;NA;NA;NA;NA;NA;15.750;15.750;35.156;1031.560;9.0;66615
$;00:00:33;08:35:45;14.02.2019;N;NA;NA;NA;NA;NA;NA;NA;15.750;15.625;35.378;1031.619;9.0;66615
$;00:00:35;08:35:47;14.02.2019;N;NA;NA;NA;NA;NA;NA;NA;15.750;15.500;35.400;1031.839;9.0;66615
$;00:00:37;08:35:49;14.02.2019;N;NA;NA;NA;NA;NA;NA;NA;15.750;15.500;35.355;1031.599;9.0;66615
$;00:00:39;08:35:51;14.02.2019;N;NA;NA;NA;NA;NA;NA;NA;15.625;15.375;35.454;1031.709;9.0;66615
$;00:00:41;08:35:53;14.02.2019;Y;04;52 19.72841 N;009 44.51468 E;2.053;3.8;347.42;43.3;15.750;15.250;35.538;1031.599;8.9;66679
$;00:00:43;08:35:55;14.02.2019;Y;04;52 19.72876 N;009 44.51491 E;1.506;2.7;;44.8;15.625;15.125;35.690;1031.530;9.0;66679
$;00:00:45;08:35:57;14.02.2019;Y;04;52 19.72995 N;009 44.51455 E;1.669;3.0;;46.0;15.625;15.125;35.957;1031.550;9.0;66679
$;00:00:47;08:35:59;14.02.2019;Y;04;52 19.72964 N;009 44.51551 E;1.434;2.6;39.54;47.1;15.625;14.875;36.156;1031.670;9.0;66679
$;00:00:49;08:36:01;14.02.2019;Y;04;52 19.73088 N;009 44.51482 E;1.812;3.3;8.36;46.5;15.625;14.875;36.369;1031.729;8.9;66679
$;00:00:51;08:36:03;14.02.2019;Y;04;52 19.73257 N;009 44.51430 E;3.992;7.3;350.12;46.9;15.625;14.750;36.560;1031.699;8.9;66675
$;00:00:53;08:36:05;14.02.2019;Y;04;52 19.73231 N;009 44.51431 E;0.014;0.0;;47.1;15.625;14.750;36.705;1031.719;9.0;66679
$;00:00:55;08:36:07;14.02.2019;Y;04;52 19.73333 N;009 44.51396 E;3.131;5.7;349.87;47.3;15.625;14.750;36.827;1031.520;8.9;66679
$;00:00:57;08:36:09;14.02.2019;Y;04;52 19.73270 N;009 44.51401 E;0.494;0.9;;47.1;15.500;14.750;36.972;1031.709;9.0;66679
$;00:00:59;08:36:11;14.02.2019;Y;04;52 19.73226 N;009 44.51409 E;3.902;7.2;335.49;47.0;15.625;14.500;37.87;1031.750;8.9;66675
$;00:01:01;08:36:13;14.02.2019;Y;04;52 19.73494 N;009 44.51319 E;4.299;7.9;345.72;47.0;15.500;14.625;37.201;1031.780;9.0;66679
$;00:01:03;08:36:15;14.02.2019;Y;04;52 19.74256 N;009 44.51089 E;3.603;6.6;347.03;48.6;15.500;14.375;37.308;1031.689;8.9;66679
$;00:01:05;08:36:17;14.02.2019;Y;04;52 19.74326 N;009 44.51071 E;0.674;1.2;;48.9;15.500;14.500;37.415;1031.780;8.9;66679
$;00:01:07;08:36:19;14.02.2019;Y;04;52 19.74399 N;009 44.51054 E;0.213;0.3;;49.0;15.500;14.375;37.491;1031.699;9.0;66679
$;00:01:09;08:36:21;14.02.2019;Y;04;52 19.74155 N;009 44.51116 E;1.537;2.8;;49.0;15.500;14.375;37.582;1031.719;9.0;66679
$;00:01:11;08:36:23;14.02.2019;Y;04;52 19.74017 N;009 44.51164 E;0.235;0.4;;49.0;15.500;14.250;37.682;1031.760;9.0;66679
$;00:01:13;08:36:25;14.02.2019;Y;04;52 19.73754 N;009 44.51247 E;1.636;3.0;347.77;49.0;15.500;14.125;37.811;1031.890;8.9;66679
$;00:01:15;08:36:27;14.02.2019;Y;04;52 19.73478 N;009 44.51357 E;1.920;3.5;246.55;48.8;15.500;14.125;37.941;1031.800;9.0;66679
$;00:01:17;08:36:29;14.02.2019;N;NA;NA;NA;NA;NA;NA;NA;15.375;14.125;38.48;1031.839;8.9;66615
$;00:01:19;08:36:31;14.02.2019;Y;04;52 19.73938 N;009 44.51116 E;3.173;5.8;310.58;45.5;15.375;14.0;38.132;1031.849;8.9;66679
$;00:01:21;08:36:33;14.02.2019;Y;04;52 19.73731 N;009 44.51221 E;1.609;2.9;335.95;44.9;15.125;14.0;38.216;1031.699;9.0;66679
$;00:01:23;08:36:35;14.02.2019;Y;04;52 19.73677 N;009 44.51282 E;1.985;3.6;;44.2;15.500;14.0;38.300;1031.829;9.0;66679
$;00:01:25;08:36:37;14.02.2019;Y;04;52 19.73879 N;009 44.51274 E;4.376;8.1;344.98;43.1;15.375;13.750;38.452;1031.739;8.9;66679
$;00:01:27;08:36:39;14.02.2019;Y;04;52 19.73674 N;009 44.51406 E;1.880;3.4;349.02;42.9;15.250;13.750;38.567;1031.839;9.0;66679
$;00:01:29;08:36:41;14.02.2019;Y;04;52 19.73546 N;009 44.51372 E;3.910;7.2;181.09;41.7;15.250;13.750;38.696;1031.800;9.0;66679
$;00:01:31;08:36:43;14.02.2019;Y;04;52 19.73858 N;009 44.51245 E;2.391;4.4;240.61;42.2;15.375;13.625;38.757;1031.709;8.9;66679
$;00:01:33;08:36:45;14.02.2019;Y;04;52 19.73106 N;009 44.51500 E;3.563;6.5;193.90;41.3;15.125;13.625;38.818;1031.760;9.0;66679
$;00:01:35;08:36:47;14.02.2019;Y;04;52 19.73676 N;009 44.51320 E;3.079;5.7;310.80;42.9;15.250;13.625;39.108;1031.819;9.0;66679
$;00:01:37;08:36:49;14.02.2019;Y;04;52 19.73244 N;009 44.51395 E;1.669;3.0;313.30;43.6;15.125;13.500;39.864;1031.810;9.0;66679
$;00:01:39;08:36:51;14.02.2019;Y;04;52 19.73753 N;009 44.51251 E;9.179;16.9;347.21;43.1;15.125;13.500;40.390;1031.760;8.9;66679
$;00:01:41;08:36:53;14.02.2019;Y;04;52 19.74701 N;009 44.50985 E;5.260;9.7;343.68;45.4;14.875;13.375;41.603;1031.750;9.0;66679
$;00:01:43;08:36:55;14.02.2019;Y;04;52 19.74700 N;009 44.51012 E;0.459;0.8;;47.6;14.875;13.500;41.618;1031.829;8.9;66679
$;00:01:45;08:36:57;14.02.2019;Y;04;52 19.74634 N;009 44.51064 E;0.099;0.1;;49.0;14.875;13.375;41.458;1031.640;8.9;66679
$;00:01:47;08:36:59;14.02.2019;Y;04;52 19.74412 N;009 44.51135 E;0.492;0.9;;50.5;14.750;13.250;41.245;1031.709;9.0;66679
$;00:01:49;08:37:01;14.02.2019;Y;04;52 19.74376 N;009 44.51168 E;3.353;6.2;126.15;50.5;14.750;13.250;41.641;1031.729;9.0;66679
$;00:01:51;08:37:03;14.02.2019;Y;04;52 19.74277 N;009 44.51239 E;0.877;1.6;;50.4;14.625;13.125;41.542;1031.719;8.9;66679
$;00:01:53;08:37:05;14.02.2019;Y;04;52 19.74385 N;009 44.51205 E;0.482;0.8;;50.8;14.625;13.125;41.298;1031.859;9.0;66679
$;00:01:55;08:37:07;14.02.2019;Y;04;52 19.74363 N;009 44.51219 E;0.413;0.7;;50.9;14.500;13.0;41.267;1031.910;8.9;66679
$;00:01:57;08:37:09;14.02.2019;N;NA;NA;NA;NA;NA;NA;NA;14.625;13.0;41.389;1031.729;8.9;66615
$;00:01:59;08:37:11;14.02.2019;Y;04;52 19.74417 N;009 44.51004 E;0.848;1.5;;50.0;14.375;12.875;41.435;1031.849;8.9;66679
$;00:02:01;08:37:13;14.02.2019;N;NA;NA;NA;NA;NA;NA;NA;14.375;13.0;41.527;1031.859;8.9;66615
$;00:02:03;08:37:15;14.02.2019;N;NA;NA;NA;NA;NA;NA;NA;14.375;12.875;41.611;1031.849;8.9;66615
$;00:02:05;08:37:17;14.02.2019;N;NA;NA;NA;NA;NA;NA;NA;14.375;12.875;41.733;1031.780;8.9;66615
$;00:02:07;08:37:19;14.02.2019;N;NA;NA;NA;NA;NA;NA;NA;14.125;12.625;42.53;1031.910;8.9;66615
$;00:02:09;08:37:21;14.02.2019;N;NA;NA;NA;NA;NA;NA;NA;14.250;12.750;43.53;1031.900;8.9;66615
$;00:02:11;08:37:23;14.02.2019;N;NA;NA;NA;NA;NA;NA;NA;14.125;12.500;43.327;1032.99;8.9;66615
$;00:02:13;08:37:25;14.02.2019;N;NA;NA;NA;NA;NA;NA;NA;14.0;12.500;43.549;1031.829;8.9;66615
$;00:02:15;08:37:27;14.02.2019;Y;05;52 19.75720 N;009 44.49629 E;0.205;0.3;;38.2;14.125;12.375;43.678;1031.819;8.9;66679
$;00:02:17;08:37:29;14.02.2019;Y;06;52 19.74732 N;009 44.51003 E;0.455;0.8;;49.2;14.0;12.375;43.831;1031.939;8.9;66679
$;00:02:19;08:37:31;14.02.2019;Y;06;52 19.74724 N;009 44.51019 E;0.112;0.2;;50.8;13.875;12.250;43.602;1031.869;8.9;66679
$;00:02:21;08:37:33;14.02.2019;Y;06;52 19.74722 N;009 44.51007 E;0.127;0.2;;51.3;14.0;12.250;43.686;1031.849;8.9;66679
$;00:02:23;08:37:35;14.02.2019;Y;06;52 19.74698 N;009 44.51003 E;0.392;0.7;;52.3;13.750;12.125;43.625;1031.959;8.9;66679
$;00:02:25;08:37:37;14.02.2019;Y;06;52 19.74688 N;009 44.51034 E;0.273;0.5;;52.9;13.875;12.0;43.587;1031.729;8.9;66679
$;00:02:27;08:37:39;14.02.2019;Y;06;52 19.74711 N;009 44.50998 E;0.091;0.1;;53.1;13.875;12.0;43.419;1031.910;8.9;66679
$;00:02:29;08:37:41;14.02.2019;Y;05;52 19.74732 N;009 44.50971 E;0.491;0.9;;53.1;13.750;11.875;43.404;1031.900;8.9;66679
$;00:02:31;08:37:43;14.02.2019;Y;06;52 19.74708 N;009 44.50950 E;0.053;0.0;;53.1;13.750;11.875;43.488;1031.969;8.9;66679
$;00:02:33;08:37:45;14.02.2019;Y;06;52 19.74623 N;009 44.50917 E;0.124;0.2;;52.4;13.750;11.750;43.587;1031.770;8.9;66679
$;00:02:35;08:37:47;14.02.2019;Y;06;52 19.74646 N;009 44.50943 E;0.041;0.0;;52.7;13.750;11.625;43.732;1032.119;8.9;66679
$;00:02:37;08:37:49;14.02.2019;Y;06;52 19.74680 N;009 44.50938 E;0.083;0.1;;53.4;13.750;11.625;43.900;1032.30;8.9;66679
$;00:02:39;08:37:51;14.02.2019;Y;06;52 19.74694 N;009 44.50933 E;0.180;0.3;;53.7;13.625;11.500;44.220;1031.910;8.9;66679
$;00:02:41;08:37:53;14.02.2019;Y;06;52 19.74714 N;009 44.50927 E;0.050;0.0;;54.1;13.625;11.375;44.434;1031.930;8.9;66679
$;00:02:43;08:37:55;14.02.2019;Y;06;52 19.74714 N;009 44.50915 E;0.079;0.1;;54.1;13.500;11.375;44.777;1032.10;8.9;66679
$;00:02:45;08:37:57;14.02.2019;Y;06;52 19.74723 N;009 44.50921 E;0.091;0.1;;53.8;13.500;11.375;44.899;1032.20;8.9;66679
$;00:02:47;08:37:59;14.02.2019;Y;07;52 19.74759 N;009 44.50941 E;0.795;1.4;321.38;53.5;13.250;11.375;45.59;1031.819;8.9;66679
$;00:02:49;08:38:01;14.02.2019;Y;06;52 19.74762 N;009 44.50938 E;0.087;0.1;;53.5;13.375;11.250;45.113;1032.40;8.9;66679
$;00:02:51;08:38:03;14.02.2019;Y;07;52 19.74702 N;009 44.50923 E;0.036;0.0;;52.8;13.375;11.250;45.364;1032.60;8.9;66679
$;00:02:53;08:38:05;14.02.2019;Y;07;52 19.74675 N;009 44.50918 E;0.088;0.1;;52.5;13.250;11.125;45.601;1032.140;8.9;66679
$;00:02:55;08:38:07;14.02.2019;Y;07;52 19.74664 N;009 44.50921 E;0.066;0.1;;52.2;13.125;11.250;45.563;1032.30;8.9;66679
$;00:02:57;08:38:09;14.02.2019;Y;07;52 19.74651 N;009 44.50916 E;0.427;0.7;;52.0;13.0;11.0;45.868;1031.969;8.9;66679
$;00:02:59;08:38:11;14.02.2019;Y;07;52 19.74650 N;009 44.50919 E;0.106;0.1;;51.8;13.125;11.0;46.532;1032.89;8.9;66679
$;00:03:01;08:38:13;14.02.2019;Y;07;52 19.74654 N;009 44.50910 E;0.108;0.2;;51.7;13.0;10.875;46.608;1032.0;8.9;66679
$;00:03:03;08:38:15;14.02.2019;Y;07;52 19.74638 N;009 44.50912 E;0.029;0.0;;52.0;13.0;10.875;46.799;1032.69;8.9;66679
$;00:03:05;08:38:17;14.02.2019;Y;07;52 19.74614 N;009 44.50909 E;0.206;0.3;;51.8;13.0;10.875;46.715;1032.109;8.9;66679
$;00:03:07;08:38:19;14.02.2019;Y;07;52 19.74594 N;009 44.50902 E;0.113;0.2;;51.8;12.875;10.625;46.837;1031.989;8.9;66679
$;00:03:09;08:38:21;14.02.2019;Y;07;52 19.74590 N;009 44.50917 E;0.179;0.3;;51.8;12.750;10.625;46.959;1032.180;8.9;66679
$;00:03:11;08:38:23;14.02.2019;Y;07;52 19.74593 N;009 44.50921 E;0.069;0.1;;52.1;12.875;10.750;46.852;1032.50;8.9;66679
$;00:03:13;08:38:25;14.02.2019;Y;07;52 19.74595 N;009 44.50924 E;0.058;0.1;;52.1;12.750;10.750;46.761;1032.189;8.9;66679
$;00:03:15;08:38:27;14.02.2019;Y;07;52 19.74596 N;009 44.50915 E;0.220;0.4;;52.3;12.875;10.625;46.593;1031.979;8.9;66679
$;00:03:17;08:38:29;14.02.2019;Y;06;52 19.74598 N;009 44.50903 E;0.070;0.1;;52.5;12.625;10.500;46.455;1032.109;8.9;66679
$;00:03:19;08:38:31;14.02.2019;Y;06;52 19.74601 N;009 44.50901 E;0.038;0.0;;52.8;12.625;10.500;46.341;1032.40;8.9;66679
$;00:03:21;08:38:33;14.02.2019;Y;06;52 19.74597 N;009 44.50893 E;0.098;0.1;;52.8;12.750;10.500;46.257;1031.989;8.9;66679
$;00:03:23;08:38:35;14.02.2019;Y;06;52 19.74590 N;009 44.50890 E;0.059;0.1;;52.6;12.625;10.250;46.204;1031.989;8.9;66679
$;00:03:25;08:38:37;14.02.2019;Y;06;52 19.74592 N;009 44.50888 E;0.024;0.0;;52.7;12.625;10.375;46.242;1032.109;8.9;66679
$;00:03:27;08:38:39;14.02.2019;Y;05;52 19.74598 N;009 44.50889 E;0.037;0.0;;53.0;12.500;10.250;46.272;1032.109;8.9;66679
$;00:03:29;08:38:41;14.02.2019;Y;06;52 19.74600 N;009 44.50892 E;0.047;0.0;;53.1;12.375;10.125;46.265;1032.109;8.9;66679
$;00:03:31;08:38:43;14.02.2019;Y;06;52 19.74605 N;009 44.50892 E;0.100;0.1;;53.3;12.250;10.375;46.402;1032.50;8.9;66679
$;00:03:33;08:38:45;14.02.2019;Y;06;52 19.74612 N;009 44.50896 E;0.042;0.0;;53.5;12.375;10.125;46.494;1032.209;8.9;66679
$;00:03:35;08:38:47;14.02.2019;Y;07;52 19.74626 N;009 44.50904 E;0.097;0.1;;53.9;12.250;10.0;46.570;1032.140;8.9;66679
$;00:03:37;08:38:49;14.02.2019;Y;07;52 19.74618 N;009 44.50915 E;0.231;0.4;;53.9;12.250;9.875;46.639;1032.89;8.9;66679
$;00:03:39;08:38:51;14.02.2019;Y;07;52 19.74607 N;009 44.50917 E;0.068;0.1;;53.9;12.250;10.0;46.783;1032.180;8.9;66679
$;00:03:41;08:38:53;14.02.2019;Y;07;52 19.74604 N;009 44.50922 E;0.021;0.0;;53.9;12.250;9.875;46.814;1032.180;8.9;66679
$;00:03:43;08:38:55;14.02.2019;Y;07;52 19.74606 N;009 44.50929 E;0.048;0.0;;54.1;12.250;9.750;46.883;1032.150;8.9;66679
$;00:03:45;08:38:57;14.02.2019;Y;07;52 19.74613 N;009 44.50933 E;0.056;0.1;;54.2;12.250;9.625;47.226;1032.250;8.9;66679
$;00:03:47;08:38:59;14.02.2019;Y;07;52 19.74616 N;009 44.50936 E;0.114;0.2;;54.0;12.125;9.750;47.806;1032.180;8.9;66679
$;00:03:49;08:39:01;14.02.2019;Y;06;52 19.74625 N;009 44.50940 E;0.048;0.0;;54.0;12.0;9.750;48.348;1032.189;8.9;66679
$;00:03:51;08:39:03;14.02.2019;Y;07;52 19.74640 N;009 44.50950 E;0.082;0.1;;54.1;12.125;9.625;48.775;1032.260;8.9;66679
$;00:03:53;08:39:05;14.02.2019;Y;07;52 19.74650 N;009 44.50955 E;0.008;0.0;;54.1;12.125;9.625;48.897;1032.229;8.9;66679
$;00:03:55;08:39:07;14.02.2019;Y;07;52 19.74651 N;009 44.50954 E;0.135;0.2;;53.9;12.0;9.500;48.882;1032.150;8.9;66679
$;00:03:57;08:39:09;14.02.2019;Y;07;52 19.74646 N;009 44.50952 E;0.039;0.0;;53.8;12.0;9.500;48.851;1032.239;8.9;66679
$;00:03:59;08:39:11;14.02.2019;Y;07;52 19.74639 N;009 44.50954 E;0.165;0.3;;53.6;11.750;9.500;48.859;1032.239;8.9;66679
$;00:04:01;08:39:13;14.02.2019;Y;07;52 19.74634 N;009 44.50957 E;0.011;0.0;;53.6;11.750;9.500;48.943;1032.189;8.9;66679
$;00:04:03;08:39:15;14.02.2019;Y;07;52 19.74634 N;009 44.50961 E;0.042;0.0;;53.8;11.750;9.625;49.11;1032.250;8.9;66679
$;00:04:05;08:39:17;14.02.2019;Y;07;52 19.74631 N;009 44.50961 E;0.020;0.0;;53.8;11.750;9.500;49.126;1032.160;8.9;66679
$;00:04:07;08:39:19;14.02.2019;Y;07;52 19.74628 N;009 44.50960 E;0.058;0.1;;53.9;11.750;9.375;49.393;1032.229;8.9;66679
$;00:04:09;08:39:21;14.02.2019;Y;07;52 19.74635 N;009 44.50963 E;0.075;0.1;;54.1;11.625;9.375;50.903;1032.229;8.9;66679
$;00:04:11;08:39:23;14.02.2019;Y;07;52 19.74638 N;009 44.50967 E;0.199;0.3;;54.2;11.625;9.375;51.796;1032.329;8.9;66679
$;00:04:13;08:39:25;14.02.2019;Y;07;52 19.74636 N;009 44.50970 E;0.081;0.1;;54.0;11.625;9.250;52.361;1032.319;8.9;66679
$;00:04:15;08:39:27;14.02.2019;Y;07;52 19.74636 N;009 44.50970 E;0.016;0.0;;53.9;11.500;9.250;52.414;1032.209;8.9;66679
$;00:04:17;08:39:29;14.02.2019;Y;07;52 19.74637 N;009 44.50970 E;0.024;0.0;;53.9;11.625;9.125;52.490;1032.229;8.9;66679
$;00:04:19;08:39:31;14.02.2019;Y;07;52 19.74640 N;009 44.50967 E;0.047;0.0;;54.0;11.500;9.250;52.399;1032.270;8.9;66679
$;00:04:21;08:39:33;14.02.2019;Y;07;52 19.74636 N;009 44.50965 E;0.058;0.1;;54.1;11.500;9.250;52.55;1032.280;8.9;66679
$;00:04:23;08:39:35;14.02.2019;Y;07;52 19.74636 N;009 44.50965 E;0.048;0.0;;54.2;11.625;9.125;51.712;1032.410;8.9;66679
$;00:04:25;08:39:37;14.02.2019;Y;06;52 19.74629 N;009 44.50964 E;0.071;0.1;;53.9;11.250;9.125;51.537;1032.349;8.9;66679
$;00:04:27;08:39:39;14.02.2019;Y;06;52 19.74626 N;009 44.50961 E;0.032;0.0;;53.9;11.375;9.0;51.376;1032.349;8.9;66679
$;00:04:29;08:39:41;14.02.2019;Y;07;52 19.74624 N;009 44.50960 E;0.042;0.0;;54.0;11.500;8.875;51.247;1032.219;8.9;66679
$;00:04:31;08:39:43;14.02.2019;Y;07;52 19.74620 N;009 44.50958 E;0.037;0.0;;54.0;11.250;9.0;51.247;1032.229;8.9;66679
$;00:04:33;08:39:45;14.02.2019;Y;07;52 19.74611 N;009 44.50956 E;0.100;0.1;;53.7;11.250;9.0;51.376;1032.369;8.9;66679
$;00:04:35;08:39:47;14.02.2019;Y;07;52 19.74608 N;009 44.50956 E;0.091;0.1;;53.5;11.250;9.0;51.468;1032.290;8.9;66679
$;00:04:37;08:39:49;14.02.2019;Y;07;52 19.74609 N;009 44.50948 E;0.059;0.1;;53.6;11.125;9.0;51.537;1032.319;8.9;66679
$;00:04:39;08:39:51;14.02.2019;Y;07;52 19.74612 N;009 44.50948 E;0.059;0.1;;53.7;11.0;8.875;51.552;1032.339;8.9;66679
$;00:04:41;08:39:53;14.02.2019;Y;07;52 19.74614 N;009 44.50947 E;0.041;0.0;;53.9;11.0;8.750;51.857;1032.250;8.9;66679
$;00:04:43;08:39:55;14.02.2019;Y;07;52 19.74619 N;009 44.50950 E;0.034;0.0;;54.3;11.0;8.625;52.124;1032.260;8.9;66679
$;00:04:45;08:39:57;14.02.2019;Y;07;52 19.74620 N;009 44.50952 E;0.086;0.1;;54.5;11.0;8.750;52.139;1032.290;8.9;66679
$;00:04:47;08:39:59;14.02.2019;Y;07;52 19.74625 N;009 44.50953 E;0.020;0.0;;54.6;11.0;8.750;52.147;1032.280;8.9;66679
$;00:04:49;08:40:01;14.02.2019;Y;07;52 19.74625 N;009 44.50954 E;0.135;0.2;;54.5;10.875;8.750;52.238;1032.329;8.9;66679
$;00:04:51;08:40:03;14.02.2019;Y;07;52 19.74619 N;009 44.50959 E;0.189;0.3;;54.6;10.875;8.625;52.696;1032.439;8.9;66679
$;00:04:53;08:40:05;14.02.2019;Y;07;52 19.74615 N;009 44.50960 E;0.103;0.1;;54.7;11.0;8.750;53.871;1032.390;8.9;66679
$;00:04:55;08:40:07;14.02.2019;Y;06;52 19.74616 N;009 44.50954 E;0.023;0.0;;54.7;11.0;8.625;54.421;1032.390;8.9;66679
$;00:04:57;08:40:09;14.02.2019;Y;07;52 19.74613 N;009 44.50956 E;0.074;0.1;;54.5;10.875;8.500;54.321;1032.390;8.9;66679
$;00:04:59;08:40:11;14.02.2019;Y;07;52 19.74611 N;009 44.50954 E;0.103;0.1;;54.4;10.750;8.500;54.161;1032.319;8.9;66679
$;00:05:01;08:40:13;14.02.2019;Y;07;52 19.74606 N;009 44.50948 E;0.030;0.0;;54.2;10.875;8.500;53.902;1032.280;8.9;66679
$;00:05:03;08:40:15;14.02.2019;Y;07;52 19.74607 N;009 44.50942 E;0.061;0.1;;54.6;10.750;8.500;53.566;1032.219;8.8;66679
$;00:05:05;08:40:17;14.02.2019;Y;07;52 19.74605 N;009 44.50938 E;0.048;0.0;;54.4;10.750;8.500;53.467;1032.319;8.9;66679
$;00:05:07;08:40:19;14.02.2019;Y;07;52 19.74608 N;009 44.50941 E;0.238;0.4;;54.9;10.750;8.375;53.391;1032.229;8.9;66679
$;00:05:09;08:40:21;14.02.2019;Y;07;52 19.74615 N;009 44.50951 E;0.026;0.0;;54.6;10.875;8.500;53.429;1032.319;8.9;66679
$;00:05:11;08:40:23;14.02.2019;Y;06;52 19.74600 N;009 44.50937 E;0.408;0.7;;53.5;10.875;8.250;53.589;1032.400;8.9;66679
$;00:05:13;08:40:25;14.02.2019;Y;07;52 19.74602 N;009 44.50944 E;0.040;0.0;;53.2;10.875;8.250;53.726;1032.270;8.9;66679
$;00:05:15;08:40:27;14.02.2019;Y;07;52 19.74593 N;009 44.50938 E;0.185;0.3;;52.5;10.750;8.250;53.764;1032.270;8.9;66679
$;00:05:17;08:40:29;14.02.2019;Y;07;52 19.74598 N;009 44.50943 E;0.124;0.2;;52.3;10.875;8.250;54.169;1032.329;8.9;66679
$;00:05:19;08:40:31;14.02.2019;Y;07;52 19.74611 N;009 44.50955 E;0.107;0.1;;52.8;10.750;8.250;54.199;1032.300;8.9;66679
$;00:05:21;08:40:33;14.02.2019;Y;07;52 19.74632 N;009 44.50966 E;0.196;0.3;;53.4;10.625;8.125;54.123;1032.270;8.8;66679
$;00:05:23;08:40:35;14.02.2019;Y;07;52 19.74620 N;009 44.50949 E;0.064;0.1;;53.1;10.750;8.250;54.161;1032.390;8.9;66679
$;00:05:25;08:40:37;14.02.2019;Y;07;52 19.74636 N;009 44.50941 E;0.031;0.0;;53.4;10.750;8.250;54.283;1032.339;8.8;66679
$;00:05:27;08:40:39;14.02.2019;Y;07;52 19.74649 N;009 44.50945 E;0.034;0.0;;53.8;10.750;8.125;54.298;1032.410;8.9;66679
$;00:05:29;08:40:41;14.02.2019;Y;07;52 19.74666 N;009 44.50964 E;0.101;0.1;;54.0;10.625;8.0;54.337;1032.329;8.9;66679
$;00:05:31;08:40:43;14.02.2019;Y;07;52 19.74674 N;009 44.50978 E;0.032;0.0;;54.1;10.625;8.125;54.512;1032.369;8.9;66679
$;00:05:33;08:40:45;14.02.2019;Y;07;52 19.74667 N;009 44.50974 E;0.131;0.2;;53.7;10.625;8.125;54.626;1032.199;8.9;66679
$;00:05:35;08:40:47;14.02.2019;Y;07;52 19.74646 N;009 44.50965 E;0.157;0.2;;53.5;10.625;8.125;54.718;1032.469;8.9;66679
$;00:05:37;08:40:49;14.02.2019;Y;07;52 19.74624 N;009 44.50945 E;0.051;0.0;;53.2;10.625;8.125;54.817;1032.479;8.8;66679
$;00:05:39;08:40:51;14.02.2019;Y;07;52 19.74608 N;009 44.50934 E;0.109;0.2;;52.8;10.625;8.0;54.878;1032.319;8.8;66679
$;00:05:41;08:40:53;14.02.2019;Y;07;52 19.74623 N;009 44.50951 E;0.112;0.2;;52.4;10.500;8.0;55.420;1032.380;8.8;66679
$;00:05:43;08:40:55;14.02.2019;Y;07;52 19.74628 N;009 44.50960 E;0.065;0.1;;52.2;10.625;8.0;56.244;1032.400;8.9;66679
$;00:05:45;08:40:57;14.02.2019;Y;07;52 19.74619 N;009 44.50951 E;0.140;0.2;;52.0;10.500;8.0;56.564;1032.290;8.9;66679
$;00:05:47;08:40:59;14.02.2019;Y;06;52 19.74594 N;009 44.50945 E;0.277;0.5;;51.6;10.500;8.0;56.694;1032.369;8.8;66679
